City	Edition	Sport	Discipline	Athlete	Gender	Event	Event_gender	Medal	Country
London	1908	Aquatics	Swimming	ZACHAR, Imre	Men	4x200m freestyle relay	M	Silver	Hungary
London	1908	Athletics	Athletics	BODOR, Ödön	Men	4x400m relay	M	Bronze	Hungary
London	1908	Athletics	Athletics	NAGY, Jozsef	Men	4x400m relay	M	Bronze	Hungary
London	1908	Athletics	Athletics	RACZ, G.	Men	4x400m relay	M	Bronze	Hungary
London	1908	Athletics	Athletics	SIMON, Pal	Men	4x400m relay	M	Bronze	Hungary
London	1908	Athletics	Athletics	SOMODY, Istvan	Men	high jump	M	Silver	Hungary
London	1908	Fencing	Fencing	FUCHS, Jenö	Men	sabre individual	M	Gold	Hungary
London	1908	Fencing	Fencing	ZULAWSKY, Béla	Men	sabre individual	M	Silver	Hungary
London	1908	Fencing	Fencing	FUCHS, Jenö	Men	sabre team	M	Gold	Hungary
London	1908	Fencing	Fencing	GERDE, Oskar	Men	sabre team	M	Gold	Hungary
London	1908	Fencing	Fencing	TOTH, Peter	Men	sabre team	M	Gold	Hungary
London	1908	Fencing	Fencing	WERKNER, Lajos	Men	sabre team	M	Gold	Hungary
London	1908	Rowing	Rowing	LEVICZKY, Károly	Men	single sculls (1x)	M	Bronze	Hungary
London	1908	Wrestling	Wrestling Gre-R	WEISZ, Richard	Men	+ 93kg (super heavyweight)	M	Gold	Hungary
Stockholm	1912	Athletics	Athletics	KOVACS, Mor	Men	javelin throw	M	Bronze	Hungary
Stockholm	1912	Fencing	Fencing	MESZAROS, Ervin	Men	sabre individual	M	Bronze	Hungary
Stockholm	1912	Fencing	Fencing	FUCHS, Jenö	Men	sabre individual	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	BEKESSY, Béla	Men	sabre individual	M	Silver	Hungary
Stockholm	1912	Fencing	Fencing	BERTI, Laszlo	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	FÖLDES, Deszö	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	FUCHS, Jenö	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	GERDE, Oskar	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	MESZAROS, Ervin	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	SCHENKER, Zoltan	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	TOTH, Peter	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Fencing	Fencing	WERKNER, Lajos	Men	sabre team	M	Gold	Hungary
Stockholm	1912	Gymnastics	Artistic G.	ARADI, Lajos	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	BERKES, Jozsef	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	ERDÖDY, Imre	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	FOTI, Samu	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	GELLERT, Imre	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	HALMOS, Gyözö	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	HELLMICH, Otto	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	HERCZEG, Istvan	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	KERESZTESSY, Jozsef	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	KORPONAI, Janos	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	PASZTY, Elemer	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	PEDERY, Arpad	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	RETI, Jenö	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	SZÜTS, Ferenc	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	TERY, Ödön	Men	team competition	M	Silver	Hungary
Stockholm	1912	Gymnastics	Artistic G.	TULI, Géza	Men	team competition	M	Silver	Hungary
Stockholm	1912	Shooting	Shooting	PROKOPP, Sandor	Men	army rifle, 300m, 3 positions	M	Gold	Hungary
Stockholm	1912	Wrestling	Wrestling Gre-R	VARGA, Béla	Men	75 - 82.5kg (light-heavyweight)	M	Bronze	Hungary
Paris	1924	Aquatics	Swimming	BARTHA, István	Men	100m backstroke	M	Bronze	Hungary
Paris	1924	Athletics	Athletics	SOMFAY, Elemer	Men	pentathlon	M	Silver	Hungary
Paris	1924	Fencing	Fencing	BERTI, Laszlo	Men	foil team	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	LICHTENECKERT, Istvan	Men	foil team	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	POSTA, Sandor	Men	foil team	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	SCHENKER, Zoltan	Men	foil team	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	TERSZTYANSZKY, Ödön	Men	foil team	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	GARAY, Janos	Men	sabre individual	M	Bronze	Hungary
Paris	1924	Fencing	Fencing	POSTA, Sandor	Men	sabre individual	M	Gold	Hungary
Paris	1924	Fencing	Fencing	BERTI, Laszlo	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	GARAY, Janos	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	POSTA, Sandor	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	RADY, Jozsef	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	SCHENKER, Zoltan	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	SZECHY, Laszlo	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	TERSZTYANSZKY, Ödön	Men	sabre team	M	Silver	Hungary
Paris	1924	Fencing	Fencing	UHLYARIK, Jenö	Men	sabre team	M	Silver	Hungary
Paris	1924	Shooting	Shooting	HALASY, Gyula	Men	trap (125 targets)	M	Gold	Hungary
Paris	1924	Wrestling	Wrestling Gre-R	BADO, Rajmund	Men	+ 82.5kg (super heavyweight)	M	Bronze	Hungary
Paris	1924	Wrestling	Wrestling Gre-R	KERESZTES, Lajos	Men	62 - 67.5kg (lightweight)	M	Silver	Hungary
Amsterdam	1928	Aquatics	Swimming	BARANY, Istvan	Men	100m freestyle	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	BARTA, István	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	HALASSY, Oliver	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	HOMONNAI, Márton	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	IVÁDY, Sándor	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	KESERU, Alajos	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	KESERU, Ferenc	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Aquatics	Water polo	VRABELY, Jozsef	Men	water polo	M	Silver	Hungary
Amsterdam	1928	Athletics	Athletics	SZEPES-STRAUCH, Bela	Men	javelin throw	M	Silver	Hungary
Amsterdam	1928	Boxing	Boxing	KOCSIS, Antal	Men	- 50.8kg (flyweight)	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	VITEZ TERSZTYANSZKY, Odön	Men	sabre individual	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	PETSCHAUER, Attila	Men	sabre individual	M	Silver	Hungary
Amsterdam	1928	Fencing	Fencing	GARAY, Janos	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	GLYKAIS, Gyula	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	GOMBOS, Sandor	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	PETSCHAUER, Attila	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	RADY, Jozsef	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Fencing	Fencing	TERSZTYANSZKY, Ödön	Men	sabre team	M	Gold	Hungary
Amsterdam	1928	Wrestling	Wrestling Gre-R	KERESZTES, Lajos	Men	60 - 67.5kg (lightweight)	M	Gold	Hungary
Amsterdam	1928	Wrestling	Wrestling Gre-R	PAPP, L.	Men	67.5 - 75kg (middleweight)	M	Silver	Hungary
Los Angeles	1932	Aquatics	Swimming	BARANY, Istvan	Men	4x200m freestyle relay	M	Bronze	Hungary
Los Angeles	1932	Aquatics	Swimming	SZABADOS, László	Men	4x200m freestyle relay	M	Bronze	Hungary
Los Angeles	1932	Aquatics	Swimming	SZEKELY, Andras	Men	4x200m freestyle relay	M	Bronze	Hungary
Los Angeles	1932	Aquatics	Swimming	WANIE, Andras	Men	4x200m freestyle relay	M	Bronze	Hungary
Los Angeles	1932	Aquatics	Water polo	BARTA, István	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	BRODY, György	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	HALASSY, Oliver	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	HOMONNAI, Lajos	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	IVÁDY, Sándor	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	KESERU, Alajos	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	KESERU, Ferenc	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	NEMETH, János	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	SÁRKÁNY, Miklós	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Aquatics	Water polo	VÉRTESI (VRABELY), József	Men	water polo	M	Gold	Hungary
Los Angeles	1932	Boxing	Boxing	ENEKES, Istvan	Men	- 50.8kg (flyweight)	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	BOGEN, Erna	Women	foil individual	W	Bronze	Hungary
Los Angeles	1932	Fencing	Fencing	KABOS, Endre	Men	sabre individual	M	Bronze	Hungary
Los Angeles	1932	Fencing	Fencing	PILLER JEKELFALUSSY, György	Men	sabre individual	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	GEREVICH, Aladar	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	GLYKAIS, Gyula	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	KABOS, Endre	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	NAGY, Erno	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	PETSCHAUER, Attila	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Fencing	Fencing	PILLER JEKELFALUSSY, György	Men	sabre team	M	Gold	Hungary
Los Angeles	1932	Gymnastics	Artistic G.	PELLE, István	Men	floor exercises	M	Gold	Hungary
Los Angeles	1932	Gymnastics	Artistic G.	PELLE, István	Men	individual all-round	M	Silver	Hungary
Los Angeles	1932	Gymnastics	Artistic G.	PELLE, István	Men	parallel bars	M	Silver	Hungary
Los Angeles	1932	Gymnastics	Artistic G.	PELLE, István	Men	pommel horse	M	Gold	Hungary
Los Angeles	1932	Shooting	Shooting	HRADETZKY-SOOS-RUSZKA, Zoltan	Men	50m rifle prone (60 shots)	M	Bronze	Hungary
Los Angeles	1932	Wrestling	Wrestling Free.	ZOMBORI, Ödön	Men	- 56kg (bantamweight)	M	Silver	Hungary
Los Angeles	1932	Wrestling	Wrestling Free.	KÁRPÁTI, Károly	Men	61 - 66kg (lightweight)	M	Silver	Hungary
Los Angeles	1932	Wrestling	Wrestling Free.	TUNYOGI, Jozsef	Men	72 - 79kg (middleweight)	M	Bronze	Hungary
Berlin	1936	Aquatics	Swimming	CSIK, Ferenc	Men	100m freestyle	M	Gold	Hungary
Berlin	1936	Aquatics	Swimming	ABAY-NEMES, Oszkar	Men	4x200m freestyle relay	M	Bronze	Hungary
Berlin	1936	Aquatics	Swimming	CSIK, Ferenc	Men	4x200m freestyle relay	M	Bronze	Hungary
Berlin	1936	Aquatics	Swimming	GROF, Ödön	Men	4x200m freestyle relay	M	Bronze	Hungary
Berlin	1936	Aquatics	Swimming	LENGYEL, Arpad	Men	4x200m freestyle relay	M	Bronze	Hungary
Berlin	1936	Aquatics	Water polo	BOZSI, Mihaly	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	BRANDI, Jenö	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	BRODY, György	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	HALASSY, Oliver	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	HAZAI, Kalman	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	HOMONNAI, Lajos	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	KUTASI, György	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	MOLNAR, Istvan	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	NEMETH, János	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	SÁRKÁNY, Miklós	Men	water polo	M	Gold	Hungary
Berlin	1936	Aquatics	Water polo	TARICS, Sandor	Men	water polo	M	Gold	Hungary
Berlin	1936	Athletics	Athletics	CSAK, Ibolya	Women	high jump	W	Gold	Hungary
Berlin	1936	Boxing	Boxing	HARANGI, Imre	Men	57.15 - 61.24kg (lightweight)	M	Gold	Hungary
Berlin	1936	Equestrian	Jumping	H:: SELLO	Men	individual	X	Bronze	Hungary
Berlin	1936	Equestrian	Jumping	VON PLATTHY, Jozsef	Men	individual	X	Bronze	Hungary
Berlin	1936	Fencing	Fencing	ELEK, Ilona	Women	foil individual	W	Gold	Hungary
Berlin	1936	Fencing	Fencing	GEREVICH, Aladar	Men	sabre individual	M	Bronze	Hungary
Berlin	1936	Fencing	Fencing	KABOS, Endre	Men	sabre individual	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	BERCZELLY, Tibor	Men	sabre team	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	GEREVICH, Aladar	Men	sabre team	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	KABOS, Endre	Men	sabre team	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	KOVACS, Pal Adam	Men	sabre team	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	RAJCSANYI, Laszlo	Men	sabre team	M	Gold	Hungary
Berlin	1936	Fencing	Fencing	RAJCZY, Imre	Men	sabre team	M	Gold	Hungary
Berlin	1936	Gymnastics	Artistic G.	CSILLIK, Margit	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	KALOCSAI, Margit	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	MADARY, Ilona	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	MESZAROS, Gabriella	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	NAGY-SANDOR, Margit	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	TÖRÖS, Olga	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	TÖTH, Judith	Women	team competition	W	Bronze	Hungary
Berlin	1936	Gymnastics	Artistic G.	VOIT, Eszter	Women	team competition	W	Bronze	Hungary
Berlin	1936	Shooting	Shooting	BERSZENYI, Ralf	Men	50m rifle prone (60 shots)	M	Silver	Hungary
Berlin	1936	Wrestling	Wrestling Free.	ZOMBORI, Ödön	Men	- 56kg (bantamweight)	M	Gold	Hungary
Berlin	1936	Wrestling	Wrestling Free.	KÁRPÁTI, Károly	Men	61 - 66kg (lightweight)	M	Gold	Hungary
Berlin	1936	Wrestling	Wrestling Gre-R	LÖRINCZ, Marton	Men	- 56kg (bantamweight)	M	Gold	Hungary
Berlin	1936	Wrestling	Wrestling Gre-R	PALOTAS, Jozsef	Men	72 - 79kg (middleweight)	M	Bronze	Hungary
London	1948	Aquatics	Swimming	KADAS, Geza	Men	100m freestyle	M	Bronze	Hungary
London	1948	Aquatics	Swimming	MITRO, György	Men	1500m freestyle	M	Bronze	Hungary
London	1948	Aquatics	Swimming	NOVAK-GERARD, Eva	Women	200m breaststroke	W	Bronze	Hungary
London	1948	Aquatics	Swimming	KADAS, Geza	Men	4x200m freestyle relay	M	Silver	Hungary
London	1948	Aquatics	Swimming	MITRO, György	Men	4x200m freestyle relay	M	Silver	Hungary
London	1948	Aquatics	Swimming	NYEKI, Imre	Men	4x200m freestyle relay	M	Silver	Hungary
London	1948	Aquatics	Swimming	SZATMARI, Elemer	Men	4x200m freestyle relay	M	Silver	Hungary
London	1948	Aquatics	Water polo	BRANDI, Jenö	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	CSUVIK, Oszkar	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	FABIAN, Dezsö	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	GYARMATI, Dezso	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	GYORFFI, Endre	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	HOLOP, Miklos	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	JENEI, Laszlo	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	LEMHENYI, DezsÃ¶	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	SZITTYA, Karoly	Men	water polo	M	Silver	Hungary
London	1948	Aquatics	Water polo	SZIVOS, Istvan	Men	water polo	M	Silver	Hungary
London	1948	Athletics	Athletics	NEMETH, Imre	Men	hammer throw	M	Gold	Hungary
London	1948	Athletics	Athletics	VARSZEGI, Jozsef	Men	javelin throw	M	Bronze	Hungary
London	1948	Athletics	Athletics	GYARMATI, Olga	Women	long jump	W	Gold	Hungary
London	1948	Boxing	Boxing	CSIK, Tibor	Men	51 - 54kg (bantamweight)	M	Gold	Hungary
London	1948	Boxing	Boxing	PAPP, Laszlo	Men	67 - 73kg (middleweight)	M	Gold	Hungary
London	1948	Fencing	Fencing	MASZLAY, Lajos	Men	foil individual	M	Bronze	Hungary
London	1948	Fencing	Fencing	ELEK, Ilona	Women	foil individual	W	Gold	Hungary
London	1948	Fencing	Fencing	KOVACS, Pal Adam	Men	sabre individual	M	Bronze	Hungary
London	1948	Fencing	Fencing	GEREVICH, Aladar	Men	sabre individual	M	Gold	Hungary
London	1948	Fencing	Fencing	BERCZELLY, Tibor	Men	sabre team	M	Gold	Hungary
London	1948	Fencing	Fencing	GEREVICH, Aladar	Men	sabre team	M	Gold	Hungary
London	1948	Fencing	Fencing	KARPATI, Rudolf	Men	sabre team	M	Gold	Hungary
London	1948	Fencing	Fencing	KOVACS, Pal Adam	Men	sabre team	M	Gold	Hungary
London	1948	Fencing	Fencing	PAPP, Bertalan	Men	sabre team	M	Gold	Hungary
London	1948	Fencing	Fencing	RAJCSANYI, Laszlo	Men	sabre team	M	Gold	Hungary
London	1948	Gymnastics	Artistic G.	PATAKI, Ferenc	Men	floor exercises	M	Gold	Hungary
London	1948	Gymnastics	Artistic G.	MOGYOROSI-KLENCS, Janos	Men	floor exercises	M	Silver	Hungary
London	1948	Gymnastics	Artistic G.	BARANYAI, Laszlo	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	FEKETE, Jozsef	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	MOGYOROSI, Gyözö	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	MOGYOROSI-KLENCS, Janos	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	PATAKI, Ferenc	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	SANTHA, Lajos	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	TOTH, Lajos	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	VARKOI, Ferenc	Men	team competition	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	FEHER, Anna	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	GULYAS-KÖTELES, Erzsebet	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	KARSICS-DARUHAZI, Iren	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	KÖVI-ZALAI, Maria	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	NAGY-SANDOR, Margit	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	SARKANY-BALASZ, Erzebet	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	TASS LEMHENYI, Olga	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	VASARHELYI (WECKINGER), Edit	Women	team competition	W	Silver	Hungary
London	1948	Gymnastics	Artistic G.	MOGYOROSI-KLENCS, Janos	Men	vault	M	Bronze	Hungary
London	1948	Gymnastics	Artistic G.	PATAKI, Ferenc	Men	vault	M	Bronze	Hungary
London	1948	Rowing	Rowing	SZENDEY, Antal	Men	pair-oared shell with coxswain (2+)	M	Bronze	Hungary
London	1948	Rowing	Rowing	ZIMONYI, Robert	Men	pair-oared shell with coxswain (2+)	M	Bronze	Hungary
London	1948	Rowing	Rowing	ZSITNIK SR., Bela	Men	pair-oared shell with coxswain (2+)	M	Bronze	Hungary
London	1948	Shooting	Shooting	TAKACS, Karoly	Men	25m rapid fire pistol (60 shots)	M	Gold	Hungary
London	1948	Wrestling	Wrestling Free.	BOBIS, Gyula	Men	+ 87kg (heavyweight)	M	Gold	Hungary
London	1948	Wrestling	Wrestling Gre-R	TOTH, Ferenc	Men	57 - 61kg (featherweight)	M	Bronze	Hungary
London	1948	Wrestling	Wrestling Gre-R	FERENCZ, Karoly	Men	61 - 67kg (lightweight)	M	Bronze	Hungary
London	1948	Wrestling	Wrestling Gre-R	SZILVASI, Miklos	Men	67 - 73kg (welterweight)	M	Silver	Hungary
Helsinki	1952	Aquatics	Swimming	TEMES, Judith	Women	100m freestyle	W	Bronze	Hungary
Helsinki	1952	Aquatics	Swimming	SZÖKE, Katalin	Women	100m freestyle	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	SZEKELY, Eva	Women	200m breaststroke	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	NOVAK-GERARD, Eva	Women	200m breaststroke	W	Silver	Hungary
Helsinki	1952	Aquatics	Swimming	GYENGE, Valeria	Women	400m freestyle	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	NOVAK-GERARD, Eva	Women	400m freestyle	W	Silver	Hungary
Helsinki	1952	Aquatics	Swimming	NOVAK, Ilona	Women	4x100m freestyle relay	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	NOVAK-GERARD, Eva	Women	4x100m freestyle relay	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	SZÖKE, Katalin	Women	4x100m freestyle relay	W	Gold	Hungary
Helsinki	1952	Aquatics	Swimming	TEMES, Judith	Women	4x100m freestyle relay	W	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	ANTAL, Robert	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	BOLVARI, Antal	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	FABIAN, Dezsö	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	GYARMATI, Dezso	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	HASZNOS, Istvan	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	JENEI, Laszlo	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	KARPATI, György	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	LEMHENYI, DezsÃ¶	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	MARKOVICS, Kalman	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	MARTIN, Miklos	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	SZITTYA, Karoly	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	SZIVOS, Istvan	Men	water polo	M	Gold	Hungary
Helsinki	1952	Aquatics	Water polo	VIZVARI, György	Men	water polo	M	Gold	Hungary
Helsinki	1952	Athletics	Athletics	CSANYI, György	Men	4x100m relay	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	GOLDOVANYI, Bela	Men	4x100m relay	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	VARASDI, Geza	Men	4x100m relay	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	ZARANDI, Laszlo	Men	4x100m relay	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	ROKA, Antal	Men	50km walk	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	NEMETH, Imre	Men	hammer throw	M	Bronze	Hungary
Helsinki	1952	Athletics	Athletics	CSERMAK, Jozsef	Men	hammer throw	M	Gold	Hungary
Helsinki	1952	Athletics	Athletics	FÖLDESSY, Ödön	Men	long jump	M	Bronze	Hungary
Helsinki	1952	Boxing	Boxing	PAPP, Laszlo	Men	67 - 71kg (light-middleweight)	M	Gold	Hungary
